Model,RMSE,MAE,R² Score,MSE
LightGBM,11.557382422258614,3.6210436442952827,0.929286534147622,133.5730884543324
Gradient Boosting,12.142973064938271,3.6543565062615113,0.9219391601926351,147.45179485581633
XGBoost,12.355049215933121,3.493730363441827,0.9191886958826727,152.64724112812962
Linear Regression,12.442896443375913,2.751081526031149,0.9180354367058298,154.82567190057694
Ridge Regression,12.44291539394399,2.751441870161072,0.9180351870410951,154.8261435008483
Lasso Regression,12.491178104056996,2.739040368532938,0.9173981151479943,156.02953042727293
Random Forest,14.492514151157227,5.42870651894303,0.8888087475494908,210.0329664214925
Decision Tree,15.858458069256312,5.149158278291899,0.8668610669232459,251.4906923343606
K-Nearest Neighbors,24.687583424322604,16.891900066784043,0.6773435754234687,609.4767753328881
